model,layer_name,layer_key,shape,numel,official_threshold_2048_backend,valid_full_cuda_backend,fallback_reason_official,guard_status,dtype_ok,contiguous_ok,shape_supported,state_owner_stable,q8_supported,rel_l2_contribution,payload_bytes,estimated_time_ms
resnet50,layer3.3.bn3.bias,layer3.3.bn3.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000008047,1024,0.344471
resnet50,layer3.4.conv1.weight,layer3.4.conv1.weight|torch.float32|256x1024x1x1,256x1024x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001868050,262144,0.124994
resnet50,layer3.4.bn1.weight,layer3.4.bn1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003651,256,0.086118
resnet50,layer3.4.bn1.bias,layer3.4.bn1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004162,256,0.086118
resnet50,layer3.4.conv2.weight,layer3.4.conv2.weight|torch.float32|256x256x3x3,256x256x3x3,589824,cuda,cuda,,pass,True,True,True,True,True,0.003011029,589824,0.281237
resnet50,layer3.4.bn2.weight,layer3.4.bn2.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003404,256,0.086118
resnet50,layer3.4.bn2.bias,layer3.4.bn2.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004279,256,0.086118
resnet50,layer3.4.conv3.weight,layer3.4.conv3.weight|torch.float32|1024x256x1x1,1024x256x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001994076,262144,0.124994
resnet50,layer3.4.bn3.weight,layer3.4.bn3.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000008555,1024,0.344471
resnet50,layer3.4.bn3.bias,layer3.4.bn3.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000008991,1024,0.344471
resnet50,layer3.5.conv1.weight,layer3.5.conv1.weight|torch.float32|256x1024x1x1,256x1024x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001860445,262144,0.124994
resnet50,layer3.5.bn1.weight,layer3.5.bn1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004272,256,0.086118
resnet50,layer3.5.bn1.bias,layer3.5.bn1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003934,256,0.086118
resnet50,layer3.5.conv2.weight,layer3.5.conv2.weight|torch.float32|256x256x3x3,256x256x3x3,589824,cuda,cuda,,pass,True,True,True,True,True,0.003480199,589824,0.281237
resnet50,layer3.5.bn2.weight,layer3.5.bn2.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003846,256,0.086118
resnet50,layer3.5.bn2.bias,layer3.5.bn2.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004522,256,0.086118
resnet50,layer3.5.conv3.weight,layer3.5.conv3.weight|torch.float32|1024x256x1x1,1024x256x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.002003363,262144,0.124994
resnet50,layer3.5.bn3.weight,layer3.5.bn3.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000010301,1024,0.344471
resnet50,layer3.5.bn3.bias,layer3.5.bn3.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000009124,1024,0.344471
resnet50,layer4.0.conv1.weight,layer4.0.conv1.weight|torch.float32|512x1024x1x1,512x1024x1x1,524288,cuda,cuda,,pass,True,True,True,True,True,0.002829573,524288,0.249989
resnet50,layer4.0.bn1.weight,layer4.0.bn1.weight|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000006049,512,0.172236
resnet50,layer4.0.bn1.bias,layer4.0.bn1.bias|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000005402,512,0.172236
resnet50,layer4.0.conv2.weight,layer4.0.conv2.weight|torch.float32|512x512x3x3,512x512x3x3,2359296,cuda,cuda,,pass,True,True,True,True,True,0.006494564,2359296,1.124948
resnet50,layer4.0.bn2.weight,layer4.0.bn2.weight|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000006297,512,0.172236
resnet50,layer4.0.bn2.bias,layer4.0.bn2.bias|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004839,512,0.172236
resnet50,layer4.0.conv3.weight,layer4.0.conv3.weight|torch.float32|2048x512x1x1,2048x512x1x1,1048576,cuda,cuda,,pass,True,True,True,True,True,0.004246591,1048576,0.499977
resnet50,layer4.0.bn3.weight,layer4.0.bn3.weight|torch.float32|2048,2048,2048,cuda,cuda,,pass,True,True,True,True,True,0.000014618,2048,0.000977
resnet50,layer4.0.bn3.bias,layer4.0.bn3.bias|torch.float32|2048,2048,2048,cuda,cuda,,pass,True,True,True,True,True,0.000012281,2048,0.000977
