model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,0,round0,raw_v0,layer3.0.conv1.weight,256x128x3x3,294912,cuda,313235,1179648,1179648,3.76601593053139,866413,1179648,1179648,100.0,0.0,0.7634833455085754,0.0,0.0,0.0,0.11379830539226532,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn1.weight,256,256,cpu,1010,1010,1010,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15254970639944077,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn1.bias,256,256,cpu,1012,1012,1012,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13724621385335922,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn1.running_mean,256,256,cpu,1006,1006,1006,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323102042078972,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn1.running_var,256,256,cpu,1010,1010,1010,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1295069232583046,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.conv2.weight,256x256x3x3,589824,cuda,610009,2359296,2359296,3.8676412970956164,1749287,2359296,2359296,100.0,0.0,1.2227604165673256,0.0,0.0,0.0,0.08017383515834808,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn2.weight,256,256,cpu,998,998,998,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1474134624004364,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn2.bias,256,256,cpu,1007,1007,1007,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354217529296875,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn2.running_mean,256,256,cpu,1007,1007,1007,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13291742652654648,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.bn2.running_var,256,256,cpu,1007,1007,1007,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351442188024521,not_checked,,1
