payload_mb,direction,host_buffer_kind,allocation_policy,copy_api,sync_location,repeat_index,wall_ms,cuda_event_ms,gb_per_s_wall,gb_per_s_event,status
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,1.294971,1.281312,12.065903,12.194532,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,1.296205,1.282272,12.054416,12.185402,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,1.294196,1.280992,12.073136,12.197578,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,1.294415,1.280064,12.071086,12.206421,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,1.295059,1.281600,12.065087,12.191792,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,1.294455,1.281568,12.070721,12.192095,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,1.294846,1.281024,12.067075,12.197274,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,1.295008,1.282240,12.065565,12.185706,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,1.293825,1.280736,12.076595,12.200017,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,1.294748,1.281248,12.067986,12.195141,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,1.297683,1.283584,12.040687,12.172947,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,1.296889,1.283712,12.048062,12.171733,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,1.293967,1.280672,12.075265,12.200626,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,1.294274,1.281312,12.072406,12.194532,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,1.293884,1.280064,12.076047,12.206421,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,1.294469,1.281504,12.070582,12.192704,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,1.293575,1.280896,12.078925,12.198493,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,1.382091,1.368800,11.305333,11.415108,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,1.380437,1.367072,11.318879,11.429537,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,1.382408,1.368320,11.302743,11.419113,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,1.380602,1.367552,11.317528,11.425525,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,1.380311,1.366912,11.319910,11.430875,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,1.379957,1.366176,11.322813,11.437033,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,1.379291,1.365376,11.328287,11.443734,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,1.379830,1.366848,11.323860,11.431410,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,1.380190,1.366656,11.320903,11.433017,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,1.379696,1.366912,11.324961,11.430875,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,1.380435,1.367488,11.318894,11.426060,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,1.380879,1.367168,11.315261,11.428735,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,1.380788,1.367296,11.316001,11.427665,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,1.380902,1.367424,11.315070,11.426595,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,1.380770,1.367520,11.316153,11.425793,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,1.379607,1.366400,11.325687,11.435158,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,1.379414,1.366176,11.327278,11.437033,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,1.380544,1.367296,11.318001,11.427665,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,1.381888,1.367200,11.306994,11.428467,ok
16,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,1.381787,1.368128,11.307825,11.420716,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,0,1.295503,1.282528,12.060950,12.182969,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,1,1.294215,1.280704,12.072953,12.200321,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,2,1.294625,1.281472,12.069132,12.193010,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,3,1.293133,1.280768,12.083057,12.199711,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,4,1.303892,1.280288,11.983358,12.204285,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,5,1.294017,1.280992,12.074804,12.197578,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,6,1.292775,1.280032,12.086400,12.206726,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,7,1.292556,1.279936,12.088455,12.207642,ok
16,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,8,1.293863,1.280864,12.076238,12.198797,ok
