model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,65536,32,24013187,9.606458,0.000000,10.035170,0.000000,10.015613,10.015613,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,33,24013187,9.745684,0.000000,9.680725,0.000000,9.660932,9.660932,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,34,24013187,10.028513,0.000000,9.823053,0.000000,9.801922,9.801922,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,35,24013187,9.599820,0.000000,10.085937,0.000000,10.060969,10.060969,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,36,24013187,9.747039,0.000000,9.721003,0.000000,9.699955,9.699955,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,37,24013187,10.014571,0.000000,9.925159,0.000000,9.902580,9.902580,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,38,24013187,9.650907,0.000000,10.059887,0.000000,10.039832,10.039832,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,39,24013187,9.762434,0.000000,9.741343,0.000000,9.717671,9.717671,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,40,24013187,9.962562,0.000000,9.845774,0.000000,9.825720,9.825720,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,41,24013187,9.596461,0.000000,10.044852,0.000000,10.022042,10.022042,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,42,24013187,9.748315,0.000000,9.682634,0.000000,9.663207,9.663207,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,43,24013187,9.947759,0.000000,9.819329,0.000000,9.795369,9.795369,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,44,24013187,9.623128,0.000000,10.055233,0.000000,10.033257,10.033257,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,45,24013187,9.733398,0.000000,9.682682,0.000000,9.660814,9.660814,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,46,24013187,9.974759,0.000000,9.840679,0.000000,9.819809,9.819809,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,47,24013187,9.576357,0.000000,10.134391,0.000000,10.113743,10.113743,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,48,24013187,9.696975,0.000000,9.766179,0.000000,9.745571,9.745571,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,49,24013187,10.013703,0.000000,9.882743,0.000000,9.861159,9.861159,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,50,24013187,9.633611,0.000000,10.032570,0.000000,10.011673,10.011673,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,51,24013187,9.742195,0.000000,9.676912,0.000000,9.654849,9.654849,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,52,24013187,9.949634,0.000000,9.844384,0.000000,9.823253,9.823253,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,53,24013187,9.608990,0.000000,10.364915,0.000000,10.333379,10.333379,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,54,24013187,10.018033,0.000000,9.718742,0.000000,9.695608,9.695608,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,55,24013187,10.045059,0.000000,9.966806,0.000000,9.940491,9.940491,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,56,24013187,9.596980,0.000000,10.038855,0.000000,10.018157,10.018157,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,57,24013187,9.755408,0.000000,9.682387,0.000000,9.657849,9.657849,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,58,24013187,9.970475,0.000000,9.817816,0.000000,9.795530,9.795530,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
