model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,encode_kernel_ms,decode_kernel_ms,payload_d2h_ms,payload_h2d_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,decoded_tensor_alloc_ms,clone_count,clone_bytes,clone_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible,unaccounted_wrapper_ms
resnet18,16384,3,diagnostic,0,2,yes,yes,15.541908,11.891224,27.433133,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279262,3.966058,3.800295,1.043619,0.000510836,0.020197913,1.000000000,pass,pass,0.895988,0.189237,0.855353,1.561025,4.679745,4.773987,6.187058,4.803178,2.122303,0.043047,18,44597248,0.327226,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.994987
resnet18,16384,4,diagnostic,0,1,yes,yes,16.303908,12.261012,28.564920,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass,0.910913,0.190680,0.855674,1.623157,4.753801,4.825464,6.551765,5.059740,2.413804,0.041805,18,44597248,0.334130,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.003988
resnet18,8192,0,diagnostic,0,1,yes,yes,14.754401,11.478906,26.233307,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass,0.939282,0.193084,0.862426,1.583577,4.858932,4.835556,5.277006,4.289092,2.030925,0.043715,19,44630016,0.349804,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.969908
resnet18,8192,1,diagnostic,0,2,yes,yes,14.557075,11.519243,26.076318,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274418,3.967762,3.800295,1.044067,0.000510836,0.020201929,1.000000000,pass,pass,0.958820,0.198554,0.859157,1.556176,4.808802,4.787856,5.115154,4.387841,2.018563,0.045174,19,44630016,0.342069,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.998152
resnet18,8192,2,diagnostic,0,1,yes,yes,14.673647,11.159204,25.832850,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass,0.932216,0.190303,0.855821,1.556629,4.813392,4.782245,5.202585,4.071276,2.089587,0.043750,19,44630016,0.339300,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.955747
resnet18,8192,3,diagnostic,0,2,yes,yes,14.856230,11.372160,26.228390,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274418,3.967762,3.800295,1.044067,0.000510836,0.020201929,1.000000000,pass,pass,0.921390,0.190623,0.856620,1.568142,4.854776,4.753914,5.190433,4.267744,2.271495,0.042439,19,44630016,0.343302,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.967512
resnet18,8192,4,diagnostic,0,1,yes,yes,14.648309,11.232120,25.880429,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass,0.928407,0.192062,0.855981,1.586854,4.813607,4.748755,5.172335,4.141648,2.067308,0.042698,19,44630016,0.349571,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.981203
resnet18,4096,0,diagnostic,0,1,yes,yes,13.544833,11.383942,24.928776,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass,0.960355,0.195875,0.867822,1.639101,4.758962,5.047612,4.159156,3.884320,2.006272,0.045592,20,44650496,0.351410,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.012298
resnet18,4096,1,diagnostic,0,2,yes,yes,13.443831,10.841756,24.285587,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass,0.943768,0.195200,0.857142,1.571008,4.715912,4.805748,4.132462,3.694328,2.018956,0.043693,20,44650496,0.343955,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.963414
resnet18,4096,2,diagnostic,0,1,yes,yes,13.757596,10.970795,24.728390,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass,0.950599,0.193497,0.856803,1.585671,4.741563,4.799118,4.200988,3.812022,2.244867,0.044423,20,44650496,0.348382,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.950458
