model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet18,0,round0,524288,adaptive_q6_q8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,58.570120,44.689637,103.259757,313.485022,303.836022,617.321043,5.352303,5.978331,2.086200,5.810027,,1.321643,35,14,3.269152,6.450303,6.604547,1.105033,0.001134,42.468213,37.635811,3.839270,1,1361326,9.562500,11400567,11635857,3.923858,3.844513,1.020638,0.000211338,0.010994529,1.000000000,0.985661328,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,524288,adaptive_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,183.130789,330.661639,513.792427,403.029788,407.150088,810.179876,2.200776,1.576862,0.667223,1.858202,,1.411785,35,14,118.485793,4.713719,285.117025,1.744792,0.020540,52.499862,44.813157,4.063413,1,1369487,7.171875,8901982,11723976,5.025196,3.815618,1.317007,0.008458793,0.066547416,0.998625278,0.977564275,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,524288,adaptive_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,181.950261,327.400580,509.350841,386.909902,380.007937,766.917839,2.126460,1.505677,0.671552,1.870258,,1.436485,35,14,118.970149,4.819658,283.712916,1.739265,0.018898,50.774667,42.975907,4.012896,1,1376589,7.171875,8909084,11771247,5.021191,3.800295,1.321263,0.006449129,0.092047729,0.996585250,0.971579611,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,524288,outlier_q6_q8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,57.811317,42.211643,100.022960,313.485022,303.836022,617.321043,5.422555,6.171793,2.113583,5.886287,,1.318390,35,14,3.231127,6.377941,6.435470,1.078519,0.000982,41.901593,35.396069,3.803206,1,1361326,9.562500,11400566,11635857,3.923859,3.844513,1.020639,0.000211338,0.010994529,1.000000000,0.985661328,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,524288,outlier_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,183.078985,329.666808,512.745793,403.029788,407.150088,810.179876,2.201398,1.580081,0.667411,1.858728,,1.449131,35,14,118.015658,4.694637,284.533968,1.767758,0.019918,52.941157,44.383496,3.993078,1,1369487,7.171875,8901981,11723976,5.025197,3.815618,1.317008,0.008458793,0.066547416,0.998625278,0.977564275,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,524288,outlier_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,185.546068,328.461340,514.007408,386.909902,380.007937,766.917839,2.085250,1.492037,0.658537,1.834014,,1.506029,35,14,119.052628,5.239313,284.043379,1.848934,0.019415,53.590832,43.663844,4.104660,1,1376589,7.171875,8909083,11771247,5.021191,3.800295,1.321264,0.006449129,0.092047729,0.996585250,0.971579611,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,1048576,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,134.602296,4,97,31.500000,11.161865,104.481462,89.848246,194.329709,313.485022,303.836022,617.321043,3.000389,3.176668,1.169480,3.256980,1.288289,0.876324,20,8,2.580857,6.047376,5.452204,0.943526,0.000866,87.675030,84.080872,6.249988,1,3192326,7.875000,11461842,11635857,3.902881,3.844513,1.015182,0.000211338,0.010265918,1.000000000,0.987824917,1.000000000,pass,pass,research_success,research_record
resnet18,1,hot,1048576,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,134.602296,4,97,31.500000,11.161865,124.994223,109.968683,234.962906,403.029788,407.150088,810.179876,3.224387,3.448118,0.977557,2.722478,1.076868,0.838526,20,8,2.528687,5.701484,6.353587,1.080884,0.014616,108.853800,103.079062,5.788821,1,3222932,7.875000,11492454,11723976,3.892485,3.815618,1.020146,0.008458793,0.018016459,1.000000000,0.994304478,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet18,2,hot,1048576,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,134.602296,4,97,31.500000,11.161865,121.281646,105.123812,226.405459,386.909902,380.007937,766.917839,3.190177,3.387365,1.007481,2.805816,1.109832,0.855489,20,8,2.630118,4.634284,6.108598,1.088819,0.015307,106.137779,98.499398,5.743511,1,3230584,7.875000,11500106,11771247,3.889895,3.800295,1.023577,0.006449129,0.022993546,1.000000000,0.993194103,1.000000000,pass,pass,research_success,research_record
resnet18,0,round0,1048576,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,4,97,31.500000,11.161865,205.415520,344.541597,549.957117,313.485022,303.836022,617.321043,1.526102,1.122489,0.594838,1.656613,,1.116320,20,8,102.764589,5.235048,256.806276,1.350419,0.000695,88.677402,87.291548,6.152050,1,3192326,6.890625,10429650,11635857,4.289138,3.844513,1.115652,0.000426029,0.020143196,1.000000000,0.975871861,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
