model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,quant_mode_layer,fallback_reason
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn3.weight,layer3.3.bn3.weight|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn3.bias,layer3.3.bn3.bias|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.conv1.weight,layer3.4.conv1.weight|torch.float32|256x1024x1x1,cpu_batch,,256x1024x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn1.weight,layer3.4.bn1.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn1.bias,layer3.4.bn1.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn2.weight,layer3.4.bn2.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn2.bias,layer3.4.bn2.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.conv3.weight,layer3.4.conv3.weight|torch.float32|1024x256x1x1,cpu_batch,,1024x256x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn3.weight,layer3.4.bn3.weight|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.4.bn3.bias,layer3.4.bn3.bias|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.conv1.weight,layer3.5.conv1.weight|torch.float32|256x1024x1x1,cpu_batch,,256x1024x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn1.weight,layer3.5.bn1.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn1.bias,layer3.5.bn1.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn2.weight,layer3.5.bn2.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn2.bias,layer3.5.bn2.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.conv3.weight,layer3.5.conv3.weight|torch.float32|1024x256x1x1,cpu_batch,,1024x256x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn3.weight,layer3.5.bn3.weight|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.5.bn3.bias,layer3.5.bn3.bias|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn1.weight,layer4.0.bn1.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn1.bias,layer4.0.bn1.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn2.weight,layer4.0.bn2.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn2.bias,layer4.0.bn2.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn3.weight,layer4.0.bn3.weight|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.bn3.bias,layer4.0.bn3.bias|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.shortcut.1.weight,layer4.0.shortcut.1.weight|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.0.shortcut.1.bias,layer4.0.shortcut.1.bias|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn1.weight,layer4.1.bn1.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn1.bias,layer4.1.bn1.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn2.weight,layer4.1.bn2.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn2.bias,layer4.1.bn2.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn3.weight,layer4.1.bn3.weight|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.1.bn3.bias,layer4.1.bn3.bias|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn1.weight,layer4.2.bn1.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn1.bias,layer4.2.bn1.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn2.weight,layer4.2.bn2.weight|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn2.bias,layer4.2.bn2.bias|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn3.weight,layer4.2.bn3.weight|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer4.2.bn3.bias,layer4.2.bn3.bias|torch.float32|2048,cpu_batch,,2048,2048,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,linear.weight,linear.weight|torch.float32|10x2048,cpu_batch,,10x2048,20480,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,bn1.running_mean,bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,bn1.running_var,bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn1.running_mean,layer1.0.bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn1.running_var,layer1.0.bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn2.running_mean,layer1.0.bn2.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn2.running_var,layer1.0.bn2.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn3.running_mean,layer1.0.bn3.running_mean|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.bn3.running_var,layer1.0.bn3.running_var|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.shortcut.1.running_mean,layer1.0.shortcut.1.running_mean|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.0.shortcut.1.running_var,layer1.0.shortcut.1.running_var|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn1.running_mean,layer1.1.bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn1.running_var,layer1.1.bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn2.running_mean,layer1.1.bn2.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn2.running_var,layer1.1.bn2.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn3.running_mean,layer1.1.bn3.running_mean|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.1.bn3.running_var,layer1.1.bn3.running_var|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn1.running_mean,layer1.2.bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn1.running_var,layer1.2.bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
